champion,reigns,total_days,total_matches
Novak Djokovic,37,571,117
Thanasi Kokkinakis,1,504,11
Ivan Lendl,20,480,118
Rafael Nadal,26,479,102
Roger Federer,36,474,132
Christian Bergstrom,2,329,13
Stefan Edberg,21,324,94
Manuel Orantes,8,318,83
Brad Gilbert,4,315,83
Jimmy Connors,13,312,104
Andy Roddick,5,297,60
Alexander Zverev,7,287,48
John McEnroe,16,279,77
Mats Wilander,8,272,47
Andy Murray,14,269,69
Denis Shapovalov,3,259,22
John Newcombe,16,244,97
Boris Becker,14,236,44
Stan Smith,11,233,74
David Goffin,3,224,11
Rod Laver,15,223,81
Fred Stolle,4,205,32
Milos Raonic,6,204,46
Bjorn Borg,11,203,55
Gustavo Kuerten,4,196,41
Robby Ginepri,3,182,30
Nick Kyrgios,3,172,35
Marty Riessen,5,169,43
Yannick Noah,10,168,41
Brian Gottfried,6,161,45
David Nalbandian,6,161,23
Michael Chang,11,160,49
Lleyton Hewitt,6,157,29
Marat Safin,7,156,15
Andre Agassi,8,155,47
Tim Wilkison,7,155,17
Daniil Medvedev,4,154,42
Ken Rosewall,13,153,50
Goran Ivanisevic,10,148,46
Nikolay Davydenko,4,146,27
Guillermo Vilas,6,142,53
Tim Henman,6,140,31
Jo-Wilfried Tsonga,5,133,20
Patrick Rafter,6,133,18
Thomas Johansson,7,133,21
Yevgeny Kafelnikov,11,132,31
Marcelo Rios,10,126,49
Jan Kodes,6,123,28
Harold Solomon,5,119,32
Juan Carlos Ferrero,8,119,30
Michael Stich,11,118,37
Stan Wawrinka,13,114,25
Janko Tipsarevic,2,112,7
Peter Lundgren,1,112,16
Fabian Marozsan,1,105,10
Fabrice Santoro,4,105,17
Kevin Anderson,3,104,13
Ilie Nastase,8,101,34
David Ferrer,3,100,19
Miloslav Mecir,4,98,15
Eddie Dibbs,6,96,37
Ivo Karlovic,2,94,24
Roger Taylor,6,94,15
Stefanos Tsitsipas,5,91,26
Philipp Kohlschreiber,4,86,26
Arthur Ashe,5,85,32
Steve Denton,2,85,16
Hyung Taik Lee,1,84,11
Pete Sampras,13,84,27
Ray Ruffels,2,84,12
Tomas Carbonell,3,84,13
Viktor Troicki,3,84,11
Marin Cilic,3,83,14
Tommy Robredo,5,81,19
Mardy Fish,4,78,20
Carlos Alcaraz,4,77,18
Ivan Ljubicic,2,77,15
Magnus Norman,3,77,22
Roberto Carballes Baena,1,77,2
Nicolas Almagro,4,76,12
Roscoe Tanner,7,75,25
Marc Rosset,3,73,13
Richard Gonzalez,5,73,9
Juan Martin del Potro,6,72,16
