date,start_date,champion,to,tournament,score,end_date,reign_days,reign_matches
19840917,1984-09-17,Brad Gilbert,John McEnroe,San Francisco,6-4 6-4,1985-04-08,203,51
19751005,1975-10-05,Manuel Orantes,Vladimir Zednik,Aviles,6-1 3-6 6-3,1976-05-04,212,44
19740513,1974-05-13,Marty Riessen,Rod Laver,Las Vegas,6-2 6-2,1974-10-29,169,43
19701209,1970-12-09,Rod Laver,Stan Smith,Masters,4-6 6-3 6-4,1971-04-18,130,34
20060828,2006-08-28,Andy Roddick,Roger Federer,US Open,6-2 4-6 7-5 6-1,2007-03-05,189,31
19690623,1969-06-23,John Newcombe,Rod Laver,Wimbledon,6-4 5-7 6-4 6-4,1969-09-20,89,28
19710710,1971-07-10,Stan Smith,Manuel Santana,Bastad,6-2 4-6 6-4 6-2,1971-10-18,100,28
19741221,1974-12-21,Jimmy Connors,John Newcombe,Australian Open,7-5 3-6 6-4 7-6,1975-03-06,75,28
20021007,2002-10-07,Gustavo Kuerten,Paul Henri Mathieu,Lyon,4-6 6-3 6-1,2003-03-17,161,28
19780529,1978-05-29,Guillermo Vilas,Bjorn Borg,Roland Garros,6-1 6-1 6-3,1978-08-29,92,27
