date,match_date,from,to,tournament,score
19680422,1968-04-22,Owen Davidson,Ken Rosewall,Bournemouth,6-3 7-5 6-3
19680502,1968-05-02,Ken Rosewall,Rod Laver,Wembley NTL 2,6-0 6-1 6-0
19680527,1968-05-27,Rod Laver,Ken Rosewall,Roland Garros,6-3 6-1 2-6 6-2
19680612,1968-06-12,Ken Rosewall,Tony Roche,Boston 1,4-6 10-8 6-3 7-5
19680617,1968-06-17,Tony Roche,Ove Bengtson,London,W/O
19680617,1968-06-17,Ove Bengtson,Tom Okker,London,6-4 6-1
19680624,1968-06-24,Tom Okker,Arthur Ashe,Wimbledon,7-9 9-7 9-7 6-2
19680624,1968-06-24,Arthur Ashe,Rod Laver,Wimbledon,7-5 6-2 6-4
19680717,1968-07-17,Rod Laver,Richard Gonzalez,Los Angeles NTL,1-6 6-3 6-4
19680722,1968-07-22,Richard Gonzalez,Fred Stolle,Oakland,7-5 6-3
19680809,1968-08-09,Fred Stolle,Andres Gimeno,Binghamton NTL,6-4 6-1
19680815,1968-08-15,Andres Gimeno,Ken Rosewall,Fort Worth NTL,6-4 6-3
19680829,1968-08-29,Ken Rosewall,Tom Okker,US Open,8-6 6-4 6-8 6-1
19680914,1968-09-14,Tom Okker,Marty Riessen,Los Angeles,6-3 6-2
19680926,1968-09-26,Marty Riessen,Earl Butch Buchholz,Pretoria WCT,6-4 6-4
19680926,1968-09-26,Earl Butch Buchholz,Tony Roche,Pretoria WCT,6-4 6-3
19681006,1968-10-06,Tony Roche,John Newcombe,Durban WCT,6-3 6-4
19681010,1968-10-10,John Newcombe,Roger Taylor,Port Elizabeth WCT,10-4
19681011,1968-10-11,Roger Taylor,Pierre Barthes,Cape Town WCT,6-4 10-8
19681016,1968-10-16,Pierre Barthes,John Newcombe,Kimberley WCT,10-6
19681107,1968-11-07,John Newcombe,Tony Roche,Vienna WCT,6-4 7-5
19681115,1968-11-15,Tony Roche,Andres Gimeno,Wembley 3,6-4 16-14
19681115,1968-11-15,Andres Gimeno,Ken Rosewall,Wembley 3,7-5 6-1
19681128,1968-11-28,Ken Rosewall,Richard Gonzalez,New York 3,7-5 5-7 6-4
19681128,1968-11-28,Richard Gonzalez,Tony Roche,New York 3,6-4 6-3
19681230,1968-12-30,Tony Roche,Fred Stolle,Hobart,6-3 0-6 6-4 6-1
19690113,1969-01-13,Fred Stolle,Richard Gonzalez,Sydney,15-13 6-4 8-6
19690120,1969-01-20,Richard Gonzalez,Bill Bowrey,Australian Open,6-3 6-0 11-9
19690120,1969-01-20,Bill Bowrey,Ray Ruffels,Australian Open,9-11 2-6 6-0 6-3 6-4
19690129,1969-01-29,Ray Ruffels,Thomas Lejus,Auckland,6-3 6-4 4-6 6-1
19690415,1969-04-15,Thomas Lejus,Roger Taylor,Monte Carlo,6-1 5-7 6-4
19690428,1969-04-28,Roger Taylor,Bob Hewitt,Bournemouth,6-1 6-3 2-6 6-1
19690428,1969-04-28,Bob Hewitt,John Newcombe,Bournemouth,6-8 6-3 5-7 6-4 6-4
19690512,1969-05-12,John Newcombe,Zeljko Franulovic,Brussels,9-7 3-6 6-2 8-6
19690521,1969-05-21,Zeljko Franulovic,Jean Loup Rouyer,Rome,6-3 2-6 6-4
19690521,1969-05-21,Jean Loup Rouyer,Tom Okker,Rome,4-6 6-3 6-4 5-7 7-5
19690521,1969-05-21,Tom Okker,Tony Roche,Rome,4-6 4-6 7-5 12-10 6-3
19690522,1969-05-22,Tony Roche,Tom Okker,Amsterdam,6-3 6-2
19690528,1969-05-28,Tom Okker,Rod Laver,Roland Garros,4-6 6-0 6-0 6-4
19690616,1969-06-16,Rod Laver,John Newcombe,London / Queen's Club,6-4 6-4
19690623,1969-06-23,John Newcombe,Rod Laver,Wimbledon,6-4 5-7 6-4 6-4
19690920,1969-09-20,Rod Laver,Raymond Moore,Los Angeles,7-5 3-6 6-2
19690920,1969-09-20,Raymond Moore,Robert Lutz,Los Angeles,6-2 3-6 6-3
19691006,1969-10-06,Robert Lutz,Roy Emerson,Las Vegas,6-4 6-3
19691018,1969-10-18,Roy Emerson,Andres Gimeno,Cologne,6-3 19-17
19691117,1969-11-17,Andres Gimeno,Nikola Pilic,Wembley,11-9 11-9
19691117,1969-11-17,Nikola Pilic,Stan Smith,Wembley,3-6 6-3 6-4
19691117,1969-11-17,Stan Smith,Tony Roche,Wembley,6-3 8-10 6-4
19691124,1969-11-24,Tony Roche,Ilie Nastase,Stockholm Open,6-2 6-4
19691124,1969-11-24,Ilie Nastase,Nikola Pilic,Stockholm Open,6-4 4-6 6-2
19700104,1970-01-04,Nikola Pilic,John Newcombe,Australian Round Robin,6-2 6-3
19700104,1970-01-04,John Newcombe,Tony Roche,Australian Round Robin,5-7 7-5 7-5
19700110,1970-01-10,Tony Roche,John Newcombe,Melbourne,6-4 6-4 4-6 RET
19700119,1970-01-19,John Newcombe,Dennis Ralston,Australian Open,19-17 20-18 4-6 6-3
19700202,1970-02-02,Dennis Ralston,Rod Laver,Philadelphia WCT,8-6 6-1 6-4
19700212,1970-02-12,Rod Laver,Andres Gimeno,Miami,4-6 11-9 7-5
19700212,1970-02-12,Andres Gimeno,Ken Rosewall,Miami,3-6 6-2 3-6 7-6 6-3
19700304,1970-03-04,Ken Rosewall,Marty Riessen,Wembley,6-4 6-2
19700316,1970-03-16,Marty Riessen,Bill Bowrey,Sydney,7-5 8-6 6-3
19700316,1970-03-16,Bill Bowrey,Richard Gonzalez,Sydney,6-3 6-4 6-2
19700324,1970-03-24,Richard Gonzalez,Frew Mcmillan,Johannesburg,6-4 6-1 6-8 6-3
19700324,1970-03-24,Frew Mcmillan,Rod Laver,Johannesburg,4-6 6-2 6-1 6-2
19700421,1970-04-21,Rod Laver,Cliff Drysdale,Dallas,4-5 RET
19700421,1970-04-21,Cliff Drysdale,Roy Emerson,Dallas,6-4 6-4
19700506,1970-05-06,Roy Emerson,John Newcombe,Atlanta,12-10 6-3
19700506,1970-05-06,John Newcombe,Tom Okker,Atlanta,2-6 10-8 6-1
19700608,1970-06-08,Tom Okker,Nikola Pilic,Bristol,3-6 16-14 10-8
19700615,1970-06-15,Nikola Pilic,Bob Hewitt,Eastbourne,4-6 7-5 6-4
19700615,1970-06-15,Bob Hewitt,Ken Rosewall,Eastbourne,6-2 6-1
19700622,1970-06-22,Ken Rosewall,John Newcombe,Wimbledon,5-7 6-3 6-3 3-6 6-1
19700705,1970-07-05,John Newcombe,Ken Rosewall,Newport,6-4 6-4
19700716,1970-07-16,Ken Rosewall,Rod Laver,Champions Classic,6-4 6-3 6-3
19700809,1970-08-09,Rod Laver,Tony Roche,Boston,3-6 6-4 1-6 6-2 6-2
19700817,1970-08-17,Tony Roche,Ilie Nastase,Hamburg,3-6 7-5 6-1 6-4
19700817,1970-08-17,Ilie Nastase,Tom Okker,Hamburg,4-6 6-3 6-3 6-4
19700902,1970-09-02,Tom Okker,Arthur Ashe,US Open,6-4 6-7 6-2 6-3
19700902,1970-09-02,Arthur Ashe,John Newcombe,US Open,6-1 7-6 5-7 7-6
19700902,1970-09-02,John Newcombe,Ken Rosewall,US Open,6-3 6-4 6-3
