hop,date,match_date,from,to,tournament,round,score,result,source,corrob,year,same_day,source_disagree,non_played,early_era
0,19680422,1968-04-22,,Owen Davidson,Bournemouth,R32,,SEED,backbone,seed,1968,TRUE,FALSE,FALSE,TRUE
1,19680422,1968-04-22,Owen Davidson,Ken Rosewall,Bournemouth,QF,6-3 7-5 6-3,PLAYED,backbone,S+TML+DH+UTS,1968,FALSE,FALSE,FALSE,TRUE
2,19680502,1968-05-02,Ken Rosewall,Rod Laver,Wembley NTL 2,F,6-0 6-1 6-0,PLAYED,backbone,S+TML+DH+UTS,1968,FALSE,FALSE,FALSE,TRUE
3,19680527,1968-05-27,Rod Laver,Ken Rosewall,Roland Garros,F,6-3 6-1 2-6 6-2,PLAYED,backbone,S+TML+DH+UTS,1968,FALSE,FALSE,FALSE,TRUE
4,19680612,1968-06-12,Ken Rosewall,Tony Roche,Boston 1,QF,4-6 10-8 6-3 7-5,PLAYED,backbone,S+TML+DH+UTS,1968,FALSE,FALSE,FALSE,TRUE
5,19680612,1968-06-12,Tony Roche,John Newcombe,Boston 1,SF,6-2 6-3 8-10 11-13 6-4,PLAYED,backbone,S+TML+DH+UTS,1968,FALSE,FALSE,FALSE,TRUE
6,19680612,1968-06-12,John Newcombe,Rod Laver,Boston 1,F,6-4 6-4 9-7,PLAYED,backbone,S+TML+DH+UTS,1968,FALSE,FALSE,FALSE,TRUE
7,19680617,1968-06-17,Rod Laver,Tom Okker,London,SF,6-4 6-4,PLAYED,backbone,S+TML+DH+UTS,1968,FALSE,FALSE,FALSE,TRUE
8,19680624,1968-06-24,Tom Okker,Arthur Ashe,Wimbledon,QF,7-9 9-7 9-7 6-2,PLAYED,backbone,S+TML+DH+UTS,1968,FALSE,FALSE,FALSE,TRUE
9,19680624,1968-06-24,Arthur Ashe,Rod Laver,Wimbledon,SF,7-5 6-2 6-4,PLAYED,backbone,S+TML+DH+UTS,1968,FALSE,FALSE,FALSE,TRUE
10,19680717,1968-07-17,Rod Laver,Richard Gonzalez,Los Angeles NTL,F,1-6 6-3 6-4,PLAYED,backbone,S+TML+UTS,1968,FALSE,TRUE,FALSE,TRUE
11,19680722,1968-07-22,Richard Gonzalez,Fred Stolle,Oakland,F,7-5 6-3,PLAYED,backbone,S+UTS,1968,FALSE,TRUE,FALSE,TRUE
12,19680809,1968-08-09,Fred Stolle,Andres Gimeno,Binghamton NTL,F,6-4 6-1,PLAYED,backbone,S+TML+DH+UTS,1968,FALSE,FALSE,FALSE,TRUE
13,19680815,1968-08-15,Andres Gimeno,Ken Rosewall,Fort Worth NTL,F,6-4 6-3,PLAYED,backbone,S+TML+DH+UTS,1968,FALSE,FALSE,FALSE,TRUE
14,19680829,1968-08-29,Ken Rosewall,Tom Okker,US Open,SF,8-6 6-4 6-8 6-1,PLAYED,backbone,S+TML+DH+UTS,1968,FALSE,FALSE,FALSE,TRUE
15,19680829,1968-08-29,Tom Okker,Arthur Ashe,US Open,F,14-12 5-7 6-3 3-6 6-3,PLAYED,backbone,S+TML+DH+UTS,1968,FALSE,FALSE,FALSE,TRUE
16,19680914,1968-09-14,Arthur Ashe,Ken Rosewall,Los Angeles,SF,6-3 6-2,PLAYED,backbone,S+TML+DH+UTS,1968,FALSE,FALSE,FALSE,TRUE
17,19680914,1968-09-14,Ken Rosewall,Rod Laver,Los Angeles,F,4-6 6-0 6-0,PLAYED,backbone,S+TML+DH+UTS,1968,FALSE,FALSE,FALSE,TRUE
18,19680927,1968-09-27,Rod Laver,Roy Emerson,Midland NTL,SF,6-4 6-4,PLAYED,backbone,S+TML+DH+UTS,1968,FALSE,FALSE,FALSE,TRUE
19,19680927,1968-09-27,Roy Emerson,Richard Gonzalez,Midland NTL,F,7-5 6-3,PLAYED,backbone,S+TML+DH+UTS,1968,FALSE,FALSE,FALSE,TRUE
20,19681004,1968-10-04,Richard Gonzalez,Roy Emerson,Corpus Christi NTL,QF,7-5 6-0,PLAYED,backbone,S+TML+UTS,1968,FALSE,TRUE,FALSE,TRUE
21,19681004,1968-10-04,Roy Emerson,Andres Gimeno,Corpus Christi NTL,SF,6-2 6-4,PLAYED,backbone,S+TML+DH+UTS,1968,FALSE,FALSE,FALSE,TRUE
22,19681004,1968-10-04,Andres Gimeno,Rod Laver,Corpus Christi NTL,F,6-2 6-4,PLAYED,backbone,S+TML+DH+UTS,1968,FALSE,FALSE,FALSE,TRUE
23,19681031,1968-10-31,Rod Laver,Andres Gimeno,Lima NTL,RR,6-1 6-2,PLAYED,backbone,S+TML+UTS,1968,FALSE,TRUE,FALSE,TRUE
24,19681031,1968-10-31,Andres Gimeno,Fred Stolle,Lima NTL,F,2-6 6-2 6-3,PLAYED,backbone,S+TML+DH+UTS,1968,FALSE,FALSE,FALSE,TRUE
25,19681111,1968-11-11,Fred Stolle,Thomaz Koch,Buenos Aires,QF,6-3 6-2 0-6 6-3,PLAYED,backbone,S+UTS,1968,FALSE,TRUE,FALSE,TRUE
26,19681111,1968-11-11,Thomaz Koch,Rod Laver,Buenos Aires,SF,6-2 8-6 6-2,PLAYED,backbone,S+UTS,1968,FALSE,TRUE,FALSE,TRUE
27,19681111,1968-11-11,Rod Laver,Roy Emerson,Buenos Aires,F,9-7 6-4 6-4,PLAYED,backbone,S+DH+UTS,1968,FALSE,FALSE,FALSE,TRUE
28,19681115,1968-11-15,Roy Emerson,Fred Stolle,Wembley 3,QF,2-3 RET,RET,backbone,S+TML+DH+UTS,1968,FALSE,FALSE,TRUE,TRUE
29,19681115,1968-11-15,Fred Stolle,John Newcombe,Wembley 3,SF,3-6 6-2 6-4,PLAYED,backbone,S+TML+DH+UTS,1968,FALSE,FALSE,FALSE,TRUE
30,19681115,1968-11-15,John Newcombe,Ken Rosewall,Wembley 3,F,6-4 4-6 7-5 6-4,PLAYED,backbone,S+TML+UTS,1968,FALSE,TRUE,FALSE,TRUE
31,19681128,1968-11-28,Ken Rosewall,Richard Gonzalez,New York 3,QF,7-5 5-7 6-4,PLAYED,backbone,S+TML+DH+UTS,1968,FALSE,FALSE,FALSE,TRUE
32,19681128,1968-11-28,Richard Gonzalez,Tony Roche,New York 3,F,6-4 6-3,PLAYED,backbone,S+TML+DH+UTS,1968,FALSE,FALSE,FALSE,TRUE
33,19681230,1968-12-30,Tony Roche,Fred Stolle,Hobart,F,6-3 0-6 6-4 6-1,PLAYED,backbone,S+TML+DH+UTS,1968,FALSE,FALSE,FALSE,TRUE
34,19690113,1969-01-13,Fred Stolle,Richard Gonzalez,Sydney,R16,15-13 6-4 8-6,PLAYED,backbone,S+TML+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
35,19690113,1969-01-13,Richard Gonzalez,John Newcombe,Sydney,QF,5-7 18-16 6-3 14-12,PLAYED,backbone,S+TML+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
36,19690113,1969-01-13,John Newcombe,Rod Laver,Sydney,SF,6-1 6-3 7-5,PLAYED,backbone,S+TML+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
37,19690113,1969-01-13,Rod Laver,Tony Roche,Sydney,F,6-4 4-6 9-7 12-10,PLAYED,backbone,S+TML+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
38,19690120,1969-01-20,Tony Roche,Rod Laver,Australian Open,SF,7-5 22-20 9-11 1-6 6-3,PLAYED,backbone,S+TML+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
39,19690129,1969-01-29,Rod Laver,Tony Roche,Auckland,F,6-1 6-4 4-6 6-3,PLAYED,backbone,S+TML+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
40,19690205,1969-02-05,Tony Roche,Rod Laver,Philadelphia WCT,F,7-5 6-4 6-4,PLAYED,backbone,S+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
41,19690213,1969-02-13,Rod Laver,Tony Roche,Hollywood,F,6-3 9-7 6-4,PLAYED,backbone,S+TML+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
42,19690303,1969-03-03,Tony Roche,Marty Riessen,Los Angeles 1,R16,6-4 6-3,PLAYED,backbone,S+TML+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
43,19690303,1969-03-03,Marty Riessen,Rod Laver,Los Angeles 1,F,6-4 10-8,PLAYED,backbone,S+TML+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
44,19690324,1969-03-24,Rod Laver,Cliff Richey,New York,R32,6-4 3-6 6-3,PLAYED,backbone,S+TML+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
45,19690324,1969-03-24,Cliff Richey,Roy Emerson,New York,R16,7-5 9-7,PLAYED,backbone,S+TML+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
46,19690324,1969-03-24,Roy Emerson,Arthur Ashe,New York,SF,7-5 5-7 6-4,PLAYED,backbone,S+TML+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
47,19690324,1969-03-24,Arthur Ashe,Andres Gimeno,New York,F,6-1 6-2 3-6 6-8 9-7,PLAYED,backbone,S+TML+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
48,19690404,1969-04-04,Andres Gimeno,Bob Hewitt,Johannesburg,R16,6-3 6-4 6-2,PLAYED,backbone,S+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
49,19690404,1969-04-04,Bob Hewitt,Rod Laver,Johannesburg,QF,6-2 6-4 6-2,PLAYED,backbone,S+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
50,19690501,1969-05-01,Rod Laver,Roy Emerson,Japanese Championships,RR,6-4 6-5,PLAYED,backbone,S+TML+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
51,19690501,1969-05-01,Roy Emerson,Tom Okker,Japanese Championships,F,6-3 6-5,PLAYED,backbone,S+TML+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
52,19690521,1969-05-21,Tom Okker,Rod Laver,London 2,SF,10-5,PLAYED,backbone,S+TML+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
53,19690522,1969-05-22,Rod Laver,Andres Gimeno,Amsterdam,RR,6-3 6-2,PLAYED,backbone,S+TML+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
54,19690522,1969-05-22,Andres Gimeno,Ken Rosewall,Amsterdam,RR,12-10 1-6 7-5,PLAYED,backbone,S+TML+DH+UTS,1969,TRUE,FALSE,FALSE,TRUE
55,19690522,1969-05-22,Ken Rosewall,Rod Laver,Amsterdam,RR,6-2 1-6 6-3,PLAYED,backbone,S+TML+DH+UTS,1969,TRUE,FALSE,FALSE,TRUE
56,19690522,1969-05-22,Rod Laver,Tony Roche,Amsterdam,BR,6-3 3-6 6-2,PLAYED,backbone,S+TML+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
57,19690528,1969-05-28,Tony Roche,Ken Rosewall,Roland Garros,SF,7-5 6-2 6-2,PLAYED,backbone,S+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
58,19690528,1969-05-28,Ken Rosewall,Rod Laver,Roland Garros,F,6-4 6-3 6-4,PLAYED,backbone,S+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
59,19690616,1969-06-16,Rod Laver,John Newcombe,London / Queen's Club,SF,6-4 6-4,PLAYED,backbone,S+TML+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
60,19690616,1969-06-16,John Newcombe,Fred Stolle,London / Queen's Club,F,6-3 22-20,PLAYED,backbone,S+TML+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
61,19690623,1969-06-23,Fred Stolle,John Newcombe,Wimbledon,R16,6-4 7-5 3-6 6-3,PLAYED,backbone,S+TML+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
62,19690623,1969-06-23,John Newcombe,Rod Laver,Wimbledon,F,6-4 5-7 6-4 6-4,PLAYED,backbone,S+TML+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
63,19690920,1969-09-20,Rod Laver,Raymond Moore,Los Angeles,R32,7-5 3-6 6-2,PLAYED,backbone,S+TML+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
64,19690920,1969-09-20,Raymond Moore,Robert Lutz,Los Angeles,R16,6-2 3-6 6-3,PLAYED,backbone,S+TML+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
65,19690920,1969-09-20,Robert Lutz,Earl Butch Buchholz,Los Angeles,QF,6-4 7-5,PLAYED,backbone,S+TML+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
66,19690920,1969-09-20,Earl Butch Buchholz,Cliff Richey,Los Angeles,SF,6-4 6-2,PLAYED,backbone,S+TML+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
67,19690920,1969-09-20,Cliff Richey,Richard Gonzalez,Los Angeles,F,6-0 7-5,PLAYED,backbone,S+TML+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
68,19691003,1969-10-03,Richard Gonzalez,Ken Rosewall,Midland,F,5-7 6-1 7-5,PLAYED,backbone,S+TML+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
69,19691006,1969-10-06,Ken Rosewall,Richard Gonzalez,Las Vegas,QF,6-4 1-6 6-3,PLAYED,backbone,S+TML+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
70,19691117,1969-11-17,Richard Gonzalez,Tom Okker,Wembley,QF,6-1 6-2,PLAYED,backbone,S+TML+DH+UTS,1969,FALSE,FALSE,FALSE,TRUE
